Timestamp,CPU,Memory,Network
1746830777,0,0,0
1746830837,38,27,34
1746830897,1,42,27
1746830957,46,58,26
1746831017,68,56,23
1746831077,57,48,36
1746831137,28,45,54
1746831197,44,34,7
1746831257,82,10,29
1746831317,53,42,55
1746831377,42,70,62
1746831437,27,67,36
1746831497,25,42,40
1746831557,47,13,43
1746831617,45,11,14
1746831677,38,35,57
1746831737,41,43,32
1746831797,36,1,42
1746831857,26,29,34
1746831917,17,49,45
1746831977,31,42,4
1746832037,39,37,12
1746832097,43,49,44
1746832157,31,40,25
1746832217,11,7,87
1746832277,40,19,8
1746832337,49,45,18
1746832397,29,72,33
1746832457,49,39,32
1746832517,42,40,39
1746832577,25,12,9
1746832637,44,12,14
1746832697,4,35,25
1746832757,41,41,48
1746832817,28,28,7
1746832877,53,8,48
1746832937,43,33,49
1746832997,42,48,41
1746833057,32,43,40
1746833117,46,44,34
1746833177,23,23,48
1746833237,48,6,15
1746833297,35,45,36
1746833357,18,55,34
1746833417,48,32,48
1746833477,32,32,26
1746833537,37,41,38
1746833597,35,16,46
1746833657,33,25,29
1746833717,28,34,42
1746833777,74,2,33
1746833837,47,54,42
1746833897,27,54,22
1746833957,45,21,29
1746834017,38,27,4
1746834077,30,29,29
1746834137,35,36,29
1746834197,28,36,20
1746834257,33,47,21
1746834317,26,26,26
1746834377,74,16,28
1746834437,64,28,45
1746834497,62,37,37
1746834557,43,66,45
1746834617,5,22,47
1746834677,39,63,12
1746834737,47,36,41
1746834797,28,31,42
1746834857,7,38,36
1746834917,30,32,48
1746834977,28,42,7
1746835037,28,41,45
1746835097,36,30,97
1746835157,41,44,47
1746835217,32,23,45
1746835277,47,33,16
1746835337,37,48,34
1746835397,41,38,25
1746835457,33,38,27
1746835517,29,44,88
1746835577,3,60,14
1746835637,11,9,32
1746835697,23,42,47
1746835757,51,31,26
1746835817,63,27,50
1746835877,29,60,58
1746835937,36,69,44
1746835997,67,26,32
1746836057,63,47,35
1746836117,70,34,79
1746836177,35,33,32
1746836237,0,27,67
1746836297,46,29,28
1746836357,44,2,25
1746836417,36,37,44
1746836477,42,17,17
1746836537,42,53,42
1746836597,41,30,31
1746836657,44,31,25
1746836717,49,43,48
1746836777,72,43,35
1746836837,65,58,44
1746836897,47,36,35
1746836957,4,4,35
1746837017,40,44,49
1746837077,12,47,29
1746837137,21,5,3
1746837197,59,34,61
1746837257,54,48,30
1746837317,63,23,46
1746837377,38,39,58
1746837437,17,33,41
1746837497,92,32,51
1746837557,12,60,10
1746837617,31,27,0
1746837677,27,49,29
1746837737,63,32,47
1746837797,72,49,63
1746837857,34,41,59
1746837917,47,72,38
1746837977,1,38,10
1746838037,39,63,68
1746838097,40,30,43
1746838157,31,36,39
1746838217,8,71,25
1746838277,70,25,36
1746838337,38,0,21
1746838397,37,27,16
1746838457,46,46,39
1746838517,32,26,39
1746838577,35,28,29
1746838637,26,45,25
1746838697,32,42,40
1746838757,37,26,7
1746838817,28,16,44
1746838877,46,44,48
1746838937,35,33,41
1746838997,5,29,44
1746839057,38,31,39
1746839117,35,41,47
1746839177,33,36,5
1746839237,28,49,27
1746839297,30,35,44
1746839357,47,35,71
1746839417,30,44,32
1746839477,1,66,44
1746839537,30,74,42
1746839597,49,40,38
1746839657,39,42,27
1746839717,32,70,22
1746839777,32,47,38
1746839837,11,45,49
1746839897,75,42,57
1746839957,46,65,65
1746840017,31,22,1
1746840077,98,26,35
1746840137,70,83,34
1746840197,36,45,60
1746840257,43,1,33
1746840317,15,6,28
1746840377,48,46,5
1746840437,12,15,23
1746840497,43,65,60
1746840557,41,32,0
1746840617,5,40,56
